time,cx,cy,px,py,theta,v,omega
1774377066.774715,1914,584,1629,374,-0.9357695914045828,0.0,0.04789817318571485
1774377066.8097541,1914,584,1723,444,-0.9382745065447728,0.0,-0.07148896398570798
1774377066.845025,1914,584,1724,479,-1.0659349551357702,0.0,-3.619424012701451
1774377066.873614,1914,584,1721,481,-1.0805701110612276,0.0,-0.5119154459454898
1774377066.910818,1918,809,1727,444,-0.4821037107734168,107.51524239802622,16.086065023504542
1774377066.94434,1918,809,1624,365,-0.584877613720034,0.0,-3.0658742983663583
1774377066.97597,1911,840,1726,460,-0.45306599337973025,-221.30860959100298,4.167292346492827
1774377067.0116081,1917,831,1538,586,-0.9969292291376517,168.3591723141353,-15.260727370715179
1774377067.0471969,1917,831,1624,379,-0.5751299881427354,0.0,11.852041560272937
1774377067.071912,1917,831,1533,583,-0.9973558006400677,0.0,-17.083659688228305
1774377067.111234,1,436,1713,441,1.5737168792387912,-48726.02871556073,65.38526160207253
1774377067.1462588,1507,963,1613,381,0.18015588865535107,42998.004315714235,-39.78774335147262
1774377067.176546,1526,995,1577,360,0.08014293556745235,627.3263535746336,-3.302145324782231
1774377067.2122,1447,1040,1516,580,0.14888994760949725,-2215.750760650783,1.92818030664088
1774377067.2484858,1432,1016,1907,309,0.5915844833773065,-413.3839704587566,12.200188326406202
1774377067.314483,1431,1014,1879,301,0.5609910529783472,-15.152175483721804,-0.4635570260540611
1774377067.3824599,1431,1014,1674,455,0.4100619254830378,0.0,-2.2202985562721347
1774377067.4508212,1775,1078,1481,505,-0.47406389893177575,5032.088167182836,-12.933136916681839
1774377067.518035,1422,980,1885,752,1.1132145012843455,-5251.899728641612,23.615373935902944
1774377067.585407,1422,980,1827,933,1.45526373796539,0.0,5.077017335358438
1774377067.6534789,1422,980,1795,981,1.5734772855191654,0.0,1.7365998002164171
1774377067.712312,1422,980,1676,1029,1.7613686415124468,0.0,3.193632239743414
1774377067.743498,1896,776,1671,1035,-2.4263272124930615,15199.077214764075,-134.28082834805295
1774377067.777408,1896,776,1643,1047,-2.390532133324857,0.0,1.0555969551390554
1774377067.812211,1896,776,1619,1063,-2.3739231290149188,0.0,0.4772270129350261
1774377067.845449,1896,776,1617,1071,-2.3840618385843038,0.0,-0.30503428808342165
1774377067.8710332,1896,776,1652,366,-0.5368249794469454,0.0,72.20219319367855
1774377067.90815,1915,946,1630,353,-0.44801326094889404,511.8980466215739,2.392765537697768
1774377067.941661,1915,946,1553,575,-0.7731204720327286,0.0,-9.701529478693548
1774377067.975392,1915,946,1553,576,-0.7744696367440631,0.0,-0.03999750454420204
1774377068.014805,1913,571,1637,360,-0.9180841946845689,-50.744709938902666,-3.643839542847349
1774377068.045393,1913,571,1628,357,-0.9267340508326838,0.0,-0.28278675117083885
1774377068.0729442,1507,996,1546,473,0.07443203008225917,-14736.214057010333,36.33841791867174
1774377068.113219,1508,1002,1711,465,0.3614210208436814,24.829385822110403,7.12576037831343
1774377068.144638,1428,973,1543,573,0.27994982252379114,-2546.2268460551977,-2.593051904279896
1774377068.17937,1428,973,1534,585,0.2666881590229719,0.0,-0.3818298708650718
1774377068.211234,1710,1077,1523,584,-0.3625442372645076,8850.066802346462,-19.747335962215374
1774377068.2502139,1498,983,1701,468,0.3754745510796845,-5438.718770834225,18.933380365074946
1774377068.314559,1537,999,1701,454,0.2922982617986156,606.106557285935,-1.292658829332505
1774377068.34149,625,16,1749,663,2.0930985131943673,-33864.26027603424,66.86707063422547
1774377068.377627,625,16,1705,439,1.9440982176075556,0.0,-4.123221343288844
1774377068.4117079,1550,998,1710,435,0.27689153977619796,27141.23655086536,-48.91897386184136
1774377068.447166,1550,998,1628,377,0.12494952479775902,0.0,-4.28511586175634
1774377068.4726038,1550,998,1757,662,0.5521529904555037,0.0,16.794020327498654
1774377068.511154,1550,998,1715,453,0.29397991780322114,0.0,-6.697072510639178
1774377068.546137,1734,310,1762,664,3.062660938464609,5259.673795406529,79.14325550115274
1774377068.577591,1557,1001,1763,660,0.5434328359627376,-5627.292426872437,-80.09284306651412
1774377068.614152,1592,1078,1541,576,-0.10124624928926257,957.3039100607768,-17.632965972746987
1774377068.645466,1443,984,1762,660,0.7776222703563812,-4758.23464112501,28.066192182363483
1774377068.67914,1443,984,1619,358,0.2740749270636682,0.0,-14.953593810222385
1774377068.712477,1718,1032,1544,574,-0.3630706915459581,8249.122832111569,-19.112336254009154
1774377068.745755,442,0,1762,657,2.0326241015899384,-38343.66378655662,71.99037279248208
1774377068.7791958,1443,978,1537,489,0.18991243840429808,29933.469061250096,-55.103648909862216
1774377068.8129761,1445,980,1761,651,0.7652458531369106,59.2060415710908,17.03160703494834
1774377068.8450618,1714,1028,1724,451,0.017329287635919614,8383.808347637412,-23.30999682224354
